,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
AUS,1190221,1223255,1255818,1288557,1322018,1356407,1391777,1428033,1465238,1503479,1542855
CAN,1684775,1710503,1736864,1764255,1792774,1822387,1852965,1884677,1917532,1951559,1986793
FRA,2683031,2719299,2755137,2792692,2833075,2876079,2921277,2968034,3016091,3065297,3115610
DEU,3831374,3869243,3908514,3949638,3992895,4038568,4085817,4134207,4183591,4233948,4285332
ITA,2130927,2139511,2148040,2157702,2169131,2182439,2197323,2213428,2230621,2248806,2267916
JPN,4986639,5013914,5044030,5079930,5123197,5173302,5229258,5289618,5353492,5420081,5488704
KOR,2034655,2103608,2169180,2231631,2292102,2351626,2410456,2468437,2525545,2581711,2636873
MEX,2285064,2341103,2402369,2467553,2535242,2605236,2677368,2751689,2828157,2906746,2987437
TUR,2308404,2453322,2587412,2710000,2824908,2936290,3045759,3154511,3263320,3372632,3482651
GBR ,2695542,2735685,2779523,2826267,2875475,2927095,2981182,3037909,3097358,3159447,3223973
USA,18587190,18849540,19124900,19422190,19740540,20075600,20424180,20784020,21153450,21531180,21916430
BRA,3172702,3306067,3421463,3521882,3612608,3698197,3781108,3862623,3943587,4024473,4105555
CHI,24896400,26133560,27347400,28546210,29737510,30924390,32102730,33270140,34425170,35566660,36693390
IND,10074210,10810090,11558350,12319860,13098490,13897900,14719120,15563830,16432660,17325930,18243690
IDN,3369484,3529872,3692687,3858863,4029423,4205102,4386041,4572193,4763718,4960712,5163064
RUS,3582791,3595881,3600247,3601444,3603991,3609290,3617527,3629144,3644320,3663035,3685111
ZAF,739611.8,767194,792142,815009.3,836963.3,858864.9,881062.6,903868.2,927461.7,951947.3,977380.1
ARG,902409.5,946524,987153,1024183,1058515,1091179,1122919,1154323,1185764,1217496,1249683
SAU,1686648,1730028,1767250,1799192,1829051,1859603,1891361,1924746,1960026,1997268,2036354
